g_p,g_r,d,rho,eps,C,mean_train,std_train,mean_test,std_test,time,sv_ratio
0.500,0.500,1,0.6,0.1,1.00,0.830,0.014,0.851,0.068,1.77,0.92
1.000,0.500,1,0.6,0.1,1.00,0.834,0.014,0.856,0.066,1.75,0.92
0.500,0.100,3,0.6,0.1,10.00,0.823,0.011,0.858,0.069,2.33,0.91
0.100,0.100,1,0.0,0.1,10.00,0.838,0.015,0.859,0.068,1.78,0.92
0.100,0.100,2,0.0,0.1,10.00,0.838,0.015,0.859,0.068,1.74,0.92
0.100,0.100,3,0.0,0.1,10.00,0.838,0.015,0.859,0.068,2.41,0.92
0.100,0.100,4,0.0,0.1,10.00,0.838,0.015,0.859,0.068,2.42,0.92
0.500,0.100,1,0.0,0.1,10.00,0.838,0.015,0.859,0.068,1.69,0.92
0.500,0.100,2,0.0,0.1,10.00,0.838,0.015,0.859,0.068,1.69,0.92
0.500,0.100,3,0.0,0.1,10.00,0.838,0.015,0.859,0.068,2.41,0.92
0.500,0.100,4,0.0,0.1,10.00,0.838,0.015,0.859,0.068,2.37,0.92
1.000,0.100,1,0.0,0.1,10.00,0.838,0.015,0.859,0.068,1.72,0.92
1.000,0.100,2,0.0,0.1,10.00,0.838,0.015,0.859,0.068,1.76,0.92
1.000,0.100,3,0.0,0.1,10.00,0.838,0.015,0.859,0.068,2.30,0.92
1.000,0.100,4,0.0,0.1,10.00,0.838,0.015,0.859,0.068,2.37,0.92
0.500,0.100,4,0.2,0.1,10.00,0.837,0.014,0.861,0.067,2.31,0.91
0.100,0.100,2,0.2,0.1,10.00,0.843,0.014,0.864,0.068,1.75,0.91
1.000,0.100,2,0.2,0.1,1.00,0.848,0.013,0.866,0.062,1.70,0.91
1.000,0.100,2,0.4,0.1,1.00,0.847,0.014,0.867,0.059,1.61,0.91
0.500,0.100,4,0.4,0.1,10.00,0.840,0.013,0.867,0.065,2.30,0.92
0.100,0.100,3,0.2,0.1,10.00,0.848,0.015,0.869,0.068,2.37,0.92
0.100,0.100,2,0.4,0.1,10.00,0.848,0.014,0.869,0.067,1.67,0.91
0.100,0.100,4,0.2,0.1,10.00,0.848,0.015,0.869,0.068,2.29,0.92
0.100,0.100,1,0.2,0.1,10.00,0.849,0.014,0.870,0.068,1.66,0.92
0.500,0.100,1,0.2,0.1,10.00,0.851,0.014,0.872,0.068,1.75,0.92
0.100,0.100,2,0.6,0.1,10.00,0.855,0.014,0.874,0.068,1.68,0.92
1.000,0.100,3,0.8,0.1,10.00,0.796,0.010,0.874,0.061,2.54,0.91
1.000,0.100,1,0.2,0.1,10.00,0.853,0.014,0.874,0.068,1.73,0.92
0.500,0.100,4,0.6,0.1,10.00,0.847,0.012,0.876,0.065,2.26,0.92
1.000,0.500,3,0.8,0.1,1.00,0.842,0.011,0.876,0.072,2.22,0.92
1.000,0.500,4,0.8,0.1,1.00,0.845,0.011,0.877,0.064,2.23,0.92
1.000,0.100,4,0.8,0.1,10.00,0.790,0.013,0.877,0.066,2.47,0.94
0.100,0.100,2,0.8,0.1,10.00,0.862,0.014,0.879,0.067,1.60,0.92
0.100,0.100,3,0.4,0.1,10.00,0.862,0.014,0.882,0.069,2.30,0.92
0.500,0.500,3,0.8,0.1,1.00,0.864,0.012,0.883,0.071,2.17,0.92
0.100,0.100,4,0.4,0.1,10.00,0.862,0.014,0.883,0.069,2.37,0.92
0.100,0.100,1,0.4,0.1,10.00,0.865,0.014,0.885,0.069,1.73,0.92
0.500,0.100,1,0.4,0.1,10.00,0.870,0.014,0.889,0.070,1.85,0.91
0.500,0.500,4,0.8,0.1,1.00,0.874,0.014,0.889,0.064,2.18,0.92
0.500,0.100,4,0.8,0.1,10.00,0.862,0.012,0.892,0.066,2.18,0.92
1.000,0.100,1,0.4,0.1,10.00,0.871,0.014,0.892,0.069,1.74,0.92
0.100,0.500,2,0.8,0.1,1.00,0.880,0.014,0.894,0.067,1.57,0.92
0.500,0.100,3,0.8,0.1,10.00,0.863,0.010,0.896,0.073,2.25,0.92
0.100,0.500,1,0.8,0.1,1.00,0.880,0.014,0.896,0.069,1.64,0.92
1.000,0.100,2,0.6,0.1,1.00,0.875,0.014,0.897,0.054,1.63,0.92
0.100,0.100,3,0.6,0.1,10.00,0.883,0.015,0.899,0.070,2.33,0.93
0.500,0.500,1,0.8,0.1,1.00,0.883,0.015,0.900,0.069,1.69,0.93
0.100,0.100,4,0.6,0.1,10.00,0.884,0.015,0.900,0.070,2.37,0.92
0.100,0.500,3,0.8,0.1,1.00,0.887,0.015,0.901,0.066,2.13,0.92
