,units,layers,learning_rate,activation_function,lambda_reg,mean_tr_loss,std_tr_loss,mean_val_loss,std_val_loss
2332,16,2,0.0001,elu,1e-05,1.1144010543823242,0.02972577478850476,1.2102381944656373,0.05668503157149247
2333,128,5,0.0001,leakyrelu,0.0,0.86297105550766,0.046739271685083794,1.2017583847045898,0.07475132643925723
2334,4,4,0.0001,elu,0.5,6.807900524139404,0.028157871947143868,6.817145824432373,0.11031630025013804
2335,128,4,0.0001,leakyrelu,0.5,6.874115943908691,0.051182311144735294,6.874924564361573,0.1133831825558697
2336,16,2,0.0001,relu,0.01,1.4289852619171142,0.04579998013522597,1.5068445682525635,0.07852746649674854
2337,64,4,0.0001,leakyrelu,0.5,6.851262474060059,0.03802160397504623,6.8573939323425295,0.12503784124566109
2338,4,5,0.0001,elu,0.5,7.320905685424805,0.05536847468710232,7.377443599700928,0.1615958021203557
2339,64,2,0.0001,leakyrelu,0.0,1.0616793155670166,0.025712474126444573,1.2121073961257935,0.0636161353691402
2340,64,5,0.0001,leakyrelu,0.5,7.3397520065307615,0.04530158573565776,7.338116455078125,0.1075327115072236
2341,32,5,0.0001,leakyrelu,0.5,7.3193357467651365,0.047223403817037574,7.3287125587463375,0.10874649536091759
2342,2,5,0.0001,elu,0.0,2.0296976566314697,0.7047362962839262,2.0317375898361205,0.7230177300576622
2343,16,2,0.0001,relu,0.0001,1.099324917793274,0.04859469203664827,1.250584602355957,0.06683087174586708
2344,64,3,0.0001,leakyrelu,0.5,6.39116849899292,0.041076947025185495,6.398195075988769,0.11963400985103367
2345,32,4,0.0001,leakyrelu,0.5,6.841868591308594,0.032427150028245436,6.854986381530762,0.1312105523949523
2346,64,1,0.0001,leakyrelu,0.0001,1.1279874086380004,0.034374519358703205,1.2281383514404296,0.07212972153716023
2347,64,2,0.0001,elu,1e-05,1.0795157194137572,0.030975651316615074,1.1798099279403687,0.06357576345219226
2348,32,2,0.0001,leakyrelu,0.001,1.1935143947601319,0.018307501667524657,1.3077438354492188,0.08696920891296005
2349,32,1,0.0001,elu,0.001,1.2402337312698364,0.02166538070244023,1.3179807662963867,0.08675790932274552
2350,32,3,0.0001,leakyrelu,0.5,6.396788692474365,0.0356715246242684,6.410338973999023,0.1369893582029649
2351,32,1,0.0001,relu,1e-05,1.1412877321243287,0.04509220440112359,1.2416769742965699,0.061592471567119465
2352,32,1,0.0001,leakyrelu,0.1,2.8079680442810058,0.037635749079597,2.8376651287078856,0.14147802005394883
2353,16,5,0.0001,leakyrelu,0.0,1.1175207138061523,0.04606439774243047,1.2477676630020142,0.058409982633986536
2354,4,5,0.0001,elu,0.01,2.7804217100143434,2.386181496253573,2.878423810005188,2.4399367745545346
2355,64,1,0.0001,elu,0.0,1.1608291387557983,0.02435820453318439,1.2457891702651978,0.08488721432191967
2356,128,1,0.0001,elu,0.0,1.1641105651855468,0.03963844889432564,1.2424211740493774,0.0863769710399605
2357,64,2,0.0001,elu,0.01,1.489173173904419,0.02440259587056494,1.5434519529342652,0.07861849236616303
2358,128,3,0.0001,leakyrelu,0.0,0.9116128802299499,0.035184781721711536,1.200324821472168,0.052984983593541805
2359,4,1,0.0001,elu,0.0,1.3817095279693603,0.028285893660144893,1.44451003074646,0.12421812615350782
2360,128,1,0.0001,leakyrelu,0.0001,1.100442934036255,0.014004122834140998,1.2148429155349731,0.07655739905159605
2361,32,2,0.0001,leakyrelu,0.5,5.9457518577575685,0.0338374702182714,5.958660221099853,0.13206356646460277
2362,4,4,0.0001,elu,0.001,1.2848099231719972,0.030380899114758986,1.3353384733200073,0.08448147186185902
